Date,Week,Month,Year,Medium,Impressions,Ad Spend
12/04/2023,15,4,2023,Display,128139.00,192.00
12/04/2023,15,4,2023,Display,124974.00,187.00
12/04/2023,15,4,2023,Display,122953.00,184.00
12/04/2023,15,4,2023,Display,122573.00,184.00
12/04/2023,15,4,2023,Display,122119.00,183.00
12/04/2023,15,4,2023,Display,121939.00,183.00
12/04/2023,15,4,2023,Display,59316.00,89.00
12/04/2023,15,4,2023,Display,58089.00,87.00
12/04/2023,15,4,2023,Display,57853.00,87.00
12/04/2023,15,4,2023,Display,57757.00,87.00
12/04/2023,15,4,2023,Display,57353.00,86.00
12/04/2023,15,4,2023,Display,57392.00,86.00
12/04/2023,15,4,2023,Display,57365.00,86.00
12/04/2023,15,4,2023,Display,28533.00,43.00
12/04/2023,15,4,2023,Display,28420.00,43.00
12/04/2023,15,4,2023,Display,28361.00,43.00
12/04/2023,15,4,2023,Display,27268.00,41.00
12/04/2023,15,4,2023,Display,27068.00,41.00
12/04/2023,15,4,2023,Display,26914.00,40.00
12/04/2023,15,4,2023,Display,26871.00,40.00
12/04/2023,15,4,2023,Display,8595.00,13.00
12/04/2023,15,4,2023,Display,11121.00,17.00
12/04/2023,15,4,2023,Display,11069.00,17.00
12/04/2023,15,4,2023,Display,11094.00,17.00
12/04/2023,15,4,2023,Display,11215.00,17.00
12/04/2023,15,4,2023,Display,8527.00,13.00
12/04/2023,15,4,2023,Display,8538.00,13.00
12/04/2023,15,4,2023,Display,8493.00,13.00
12/04/2023,15,4,2023,Display,8505.00,13.00
12/04/2023,15,4,2023,Display,11004.00,17.00
12/04/2023,15,4,2023,Display,8411.00,13.00
12/04/2023,15,4,2023,Display,10910.00,16.00
12/04/2023,15,4,2023,Display,8404.00,13.00
12/04/2023,15,4,2023,Display,10798.00,16.00
12/04/2023,15,4,2023,Display,3325.00,5.00
12/04/2023,15,4,2023,Display,3354.00,5.00
12/04/2023,15,4,2023,Display,3387.00,5.00
12/04/2023,15,4,2023,Display,3198.00,5.00
12/04/2023,15,4,2023,Display,3240.00,5.00
12/04/2023,15,4,2023,Display,3202.00,5.00
12/04/2023,15,4,2023,Display,3166.00,5.00
12/04/2023,15,4,2023,Display,4777.00,41.00
12/04/2023,15,4,2023,Display,4625.00,39.00
12/04/2023,15,4,2023,Display,4768.00,41.00
12/04/2023,15,4,2023,Display,4569.00,39.00
12/04/2023,15,4,2023,Display,4678.00,40.00
12/04/2023,15,4,2023,Display,4641.00,39.00
12/04/2023,15,4,2023,Display,4565.00,39.00
12/04/2023,15,4,2023,Display,7398.00,63.00
12/04/2023,15,4,2023,Display,7339.00,62.00
12/04/2023,15,4,2023,Display,7328.00,62.00
12/04/2023,15,4,2023,Display,7331.00,62.00
12/04/2023,15,4,2023,Display,7464.00,63.00
12/04/2023,15,4,2023,Display,7390.00,63.00
12/04/2023,15,4,2023,Display,7416.00,63.00
12/04/2023,15,4,2023,Display,35294.00,300.00
12/04/2023,15,4,2023,Display,1157.00,5.00
12/04/2023,15,4,2023,Display,26172.00,118.00
12/04/2023,15,4,2023,Display,35907.00,162.00
13/04/2023,15,4,2023,Display,107526.00,161.00
13/04/2023,15,4,2023,Display,105924.00,159.00
13/04/2023,15,4,2023,Display,105899.00,159.00
13/04/2023,15,4,2023,Display,105551.00,158.00
13/04/2023,15,4,2023,Display,105449.00,158.00
13/04/2023,15,4,2023,Display,105414.00,158.00
13/04/2023,15,4,2023,Display,105532.00,158.00
13/04/2023,15,4,2023,Display,44930.00,67.00
13/04/2023,15,4,2023,Display,44830.00,67.00
13/04/2023,15,4,2023,Display,44834.00,67.00
13/04/2023,15,4,2023,Display,44695.00,67.00
13/04/2023,15,4,2023,Display,44654.00,67.00
13/04/2023,15,4,2023,Display,44652.00,67.00
13/04/2023,15,4,2023,Display,44417.00,67.00
13/04/2023,15,4,2023,Display,59310.00,89.00
13/04/2023,15,4,2023,Display,59248.00,89.00
13/04/2023,15,4,2023,Display,59284.00,89.00
13/04/2023,15,4,2023,Display,59282.00,89.00
13/04/2023,15,4,2023,Display,59513.00,89.00
13/04/2023,15,4,2023,Display,59195.00,89.00
13/04/2023,15,4,2023,Display,59003.00,89.00
13/04/2023,15,4,2023,Display,10852.00,16.00
13/04/2023,15,4,2023,Display,10830.00,16.00
13/04/2023,15,4,2023,Display,10701.00,16.00
13/04/2023,15,4,2023,Display,10700.00,16.00
13/04/2023,15,4,2023,Display,10549.00,16.00
13/04/2023,15,4,2023,Display,10555.00,16.00
13/04/2023,15,4,2023,Display,10547.00,16.00
13/04/2023,15,4,2023,Display,6552.00,10.00
13/04/2023,15,4,2023,Display,6584.00,10.00
13/04/2023,15,4,2023,Display,6555.00,10.00
13/04/2023,15,4,2023,Display,6437.00,10.00
13/04/2023,15,4,2023,Display,6426.00,10.00
13/04/2023,15,4,2023,Display,6429.00,10.00
13/04/2023,15,4,2023,Display,6327.00,9.00
13/04/2023,15,4,2023,Display,1944.00,3.00
13/04/2023,15,4,2023,Display,1935.00,3.00
13/04/2023,15,4,2023,Display,1919.00,3.00
13/04/2023,15,4,2023,Display,1965.00,3.00
13/04/2023,15,4,2023,Display,1886.00,3.00
13/04/2023,15,4,2023,Display,1890.00,3.00
13/04/2023,15,4,2023,Display,1822.00,3.00
13/04/2023,15,4,2023,Advertorial,1.00,0.00
13/04/2023,15,4,2023,Display,4735.00,40.00
13/04/2023,15,4,2023,Display,4810.00,41.00
13/04/2023,15,4,2023,Display,4595.00,39.00
13/04/2023,15,4,2023,Display,4613.00,39.00
13/04/2023,15,4,2023,Display,4665.00,40.00
13/04/2023,15,4,2023,Display,4669.00,40.00
13/04/2023,15,4,2023,Display,4704.00,40.00
13/04/2023,15,4,2023,Display,7234.00,61.00
13/04/2023,15,4,2023,Display,7446.00,63.00
13/04/2023,15,4,2023,Display,7229.00,61.00
13/04/2023,15,4,2023,Display,7342.00,62.00
13/04/2023,15,4,2023,Display,7266.00,62.00
13/04/2023,15,4,2023,Display,7393.00,63.00
13/04/2023,15,4,2023,Display,7448.00,63.00
13/04/2023,15,4,2023,Display,31490.00,268.00
13/04/2023,15,4,2023,Display,804.00,4.00
13/04/2023,15,4,2023,Display,29608.00,133.00
13/04/2023,15,4,2023,Display,32577.00,147.00
14/04/2023,15,4,2023,Display,94702.00,142.00
14/04/2023,15,4,2023,Display,94397.00,142.00
14/04/2023,15,4,2023,Display,94481.00,142.00
14/04/2023,15,4,2023,Display,94468.00,142.00
14/04/2023,15,4,2023,Display,94015.00,141.00
14/04/2023,15,4,2023,Display,94082.00,141.00
14/04/2023,15,4,2023,Display,93682.00,141.00
14/04/2023,15,4,2023,Display,59555.00,89.00
14/04/2023,15,4,2023,Display,59502.00,89.00
14/04/2023,15,4,2023,Display,59511.00,89.00
14/04/2023,15,4,2023,Display,59474.00,89.00
14/04/2023,15,4,2023,Display,59194.00,89.00
14/04/2023,15,4,2023,Display,58994.00,88.00
14/04/2023,15,4,2023,Display,58912.00,88.00
14/04/2023,15,4,2023,Display,61632.00,92.00
14/04/2023,15,4,2023,Display,62062.00,93.00
14/04/2023,15,4,2023,Display,62095.00,93.00
14/04/2023,15,4,2023,Display,61799.00,93.00
14/04/2023,15,4,2023,Display,61840.00,93.00
14/04/2023,15,4,2023,Display,61369.00,92.00
